ticker,snapshot_date,news_sentiment_7d,news_sentiment_30d,positive_news_count,negative_news_count,analyst_upgrades_30d,analyst_downgrades_30d,analyst_rating,target_price_consensus,target_upside,number_of_analysts
MSFT,2026-06-18,-0.327000,0.129000,6,13,0,3,3.800000,526.450000,0.095600,40
NVDA,2026-06-18,0.115000,0.045000,16,6,1,0,4.190000,108.530000,0.135400,24
META,2026-06-18,0.172000,0.222000,11,5,5,3,3.600000,695.720000,0.203200,28
GOOGL,2026-06-18,-0.020000,0.002000,13,5,0,3,3.210000,258.560000,0.094000,25
AMZN,2026-06-18,0.018000,-0.473000,22,10,3,1,4.170000,319.050000,0.176500,37
TSLA,2026-06-18,-0.133000,-0.298000,15,17,0,3,3.070000,956.870000,0.047200,32
JPM,2026-06-18,-0.034000,-0.259000,15,1,3,2,4.100000,216.570000,-0.069500,43
V,2026-06-18,0.317000,0.134000,7,7,3,0,3.690000,446.280000,0.114800,42
NFLX,2026-06-18,-0.095000,0.277000,13,14,2,3,3.970000,1782.890000,0.163000,38
AAPL,2026-06-26,-0.598000,-0.174000,0,8,2,1,3.390000,232.260000,-0.013200,36
MSFT,2026-06-26,0.052000,0.111000,21,5,4,0,3.900000,534.500000,0.108200,47
NVDA,2026-06-26,0.294000,-0.301000,9,6,1,0,3.930000,116.210000,0.191600,53
META,2026-06-26,0.215000,-0.438000,18,9,4,2,3.060000,665.870000,0.107600,35
GOOGL,2026-06-26,0.489000,0.125000,17,0,4,0,4.090000,292.320000,0.242500,42
AMZN,2026-06-26,-0.365000,0.248000,9,9,0,1,3.760000,287.150000,0.059100,36
TSLA,2026-06-26,0.014000,0.172000,21,5,2,0,3.820000,805.870000,0.023500,43
JPM,2026-06-26,-0.228000,0.297000,15,5,3,1,4.030000,250.670000,0.093400,29
V,2026-06-26,0.242000,0.009000,15,13,3,2,3.770000,473.470000,0.193500,48
NFLX,2026-06-26,-0.557000,0.379000,1,9,1,2,3.760000,1557.990000,0.021900,47
AAPL,2026-07-02,-0.382000,-0.225000,8,3,2,2,4.520000,293.770000,0.221500,37
MSFT,2026-07-02,0.560000,1,25,3,4,1,3.800000,519.550000,0.100300,32
NVDA,2026-07-02,-0.185000,0.152000,9,8,3,0,3.920000,123.680000,0.259900,50
META,2026-07-02,-0.529000,-0.181000,5,16,0,6,3.360000,685.630000,0.155800,54
GOOGL,2026-07-02,0.679000,0.285000,17,5,5,2,4.180000,262.570000,0.147600,29
AMZN,2026-07-02,-0.328000,-0.445000,7,15,0,3,3.120000,292.530000,0.100900,26
TSLA,2026-07-02,-0.141000,-0.502000,6,12,0,3,3.980000,798.570000,0.073100,39
JPM,2026-07-02,-0.005000,0.002000,20,8,3,3,4.610000,244.680000,0.076100,49
V,2026-07-02,0.149000,0.078000,19,1,1,0,5,487.410000,0.227100,45
NFLX,2026-07-02,-0.135000,0.141000,24,9,1,1,4.090000,1544.250000,0.020000,33
AAPL,2026-07-10,0.246000,-0.133000,8,20,3,1,3.580000,276.560000,0.094500,29
MSFT,2026-07-10,0.063000,-0.066000,7,12,1,4,4.210000,461.940000,0.043300,28
NVDA,2026-07-10,0.226000,0.006000,16,17,0,3,3.910000,112.990000,0.119300,45
META,2026-07-10,0.288000,-0.061000,6,17,3,1,3.830000,739.640000,0.181200,31
GOOGL,2026-07-10,0.039000,-0.387000,10,13,2,3,3.350000,274.670000,0.206200,28
AMZN,2026-07-10,0.235000,0.278000,15,7,5,1,4.420000,323.730000,0.207600,34
TSLA,2026-07-10,0.130000,0.363000,18,4,3,2,4.450000,813.880000,0.161400,43
JPM,2026-07-10,0.500000,0.068000,22,6,4,0,4.680000,256.970000,0.149900,52
V,2026-07-10,0.363000,-0.108000,26,6,3,0,4.450000,463.770000,0.183600,45
NFLX,2026-07-10,0.078000,0.094000,13,12,4,3,3.800000,1360.650000,-0.022300,27
AAPL,2026-07-17,0.312000,0.173000,21,6,8,0,5,290.070000,0.131400,50
MSFT,2026-07-17,0.239000,0.109000,14,6,4,4,4.330000,475.320000,0.051800,27
NVDA,2026-07-17,-0.448000,0.240000,17,11,2,2,4.200000,123.030000,0.081200,49
META,2026-07-17,-0.124000,-0.864000,11,13,0,5,3.710000,716.190000,0.119800,52
GOOGL,2026-07-17,0.016000,0.099000,27,8,4,1,4.450000,282.130000,0.234100,29
AMZN,2026-07-17,0.203000,0.438000,22,8,4,3,5,277.610000,0.110100,48
TSLA,2026-07-17,-0.256000,-0.014000,19,0,3,3,4.430000,719.460000,0.129300,30
JPM,2026-07-17,-0.148000,0.192000,11,7,3,1,3.870000,238.370000,0.098800,50
V,2026-07-17,0.028000,-0.188000,16,12,2,1,3.720000,402.010000,0.023300,29
NFLX,2026-07-17,-0.177000,-0.340000,10,4,1,1,4.650000,1839.440000,0.168700,33
AAPL,2026-07-24,-0.251000,0.086000,13,3,4,1,3.700000,262.250000,0.072100,37
MSFT,2026-07-24,-0.480000,-0.298000,14,9,3,2,4.170000,599.730000,0.341900,32
NVDA,2026-07-24,0.182000,-0.175000,19,8,2,1,4.170000,108.970000,0.115200,55
META,2026-07-24,-0.265000,0.511000,19,4,4,0,4.290000,702.250000,0.166900,52
GOOGL,2026-07-24,-0.090000,0.147000,20,8,2,2,3.930000,212.390000,-0.029900,48
AMZN,2026-07-24,-0.432000,0.130000,14,17,0,4,3.560000,264.460000,0.070800,39
TSLA,2026-07-24,-0.015000,-0.128000,11,8,2,0,3.830000,638.190000,0.063200,47
JPM,2026-07-24,-0.091000,-0.303000,13,7,4,2,4.130000,249.380000,0.117100,35
V,2026-07-24,0.109000,-0.015000,4,13,0,3,4.020000,474.230000,0.208200,34
NFLX,2026-07-24,-0.344000,-0.240000,18,11,3,3,4.190000,1624.660000,0.151100,36
AAPL,2026-07-31,-0.095000,-0.481000,18,5,3,2,3.330000,283.640000,0.174700,43
MSFT,2026-07-31,-0.274000,-0.043000,18,13,0,2,4.250000,431.610000,-0.029300,41
NVDA,2026-07-31,-0.225000,0.444000,20,7,3,3,3.990000,119.770000,0.204800,42
META,2026-07-31,0.102000,-0.011000,17,6,4,0,4.060000,653.080000,0.107200,29
GOOGL,2026-07-31,-0.782000,-0.082000,10,14,0,4,3.400000,240.380000,0.065700,37
AMZN,2026-07-31,-0.116000,0.127000,10,10,2,2,3.350000,314.560000,0.212400,48
TSLA,2026-07-31,0.129000,0.036000,17,11,0,3,4.080000,742.750000,0.339100,34
JPM,2026-07-31,-0.518000,-0.043000,20,6,5,2,4.510000,214.980000,-0.041500,40
V,2026-07-31,0.668000,0.415000,21,7,3,2,3.770000,479.420000,0.201700,43
NFLX,2026-07-31,-0.284000,-0.003000,18,8,2,3,3.460000,1720.980000,0.192700,43
AAPL,2026-08-07,0.090000,0.136000,23,7,4,2,4.160000,317.020000,0.246900,55
MSFT,2026-08-07,-0.248000,-0.090000,16,7,0,2,3.880000,561,0.229200,30
NVDA,2026-08-07,0.268000,-0.569000,23,12,4,1,3.790000,120.570000,0.101400,57
META,2026-08-07,0.147000,0.152000,26,2,2,1,4.290000,687,0.089000,42
GOOGL,2026-08-07,0.008000,-0.034000,22,8,1,2,3.870000,227.080000,-0.042800,57
AMZN,2026-08-07,0.173000,-0.036000,10,8,2,2,4.100000,299,0.070200,27
TSLA,2026-08-07,0.308000,0.075000,25,6,2,3,3.530000,703.130000,0.213200,41
JPM,2026-08-07,0.610000,0.206000,15,1,3,0,4.790000,243.030000,0.047000,52
V,2026-08-07,0.314000,0.015000,23,4,4,1,4.290000,443.500000,0.042400,44
NFLX,2026-08-07,0.046000,-0.065000,21,4,3,2,4.260000,2001.410000,0.286700,46
AAPL,2026-08-14,0.681000,-0.210000,27,4,6,1,4.870000,244.850000,-0.065200,43
MSFT,2026-08-14,0.355000,0.182000,10,6,1,1,4.120000,509.790000,0.087000,46
NVDA,2026-08-14,0.227000,0.396000,18,9,4,1,4.970000,110.290000,0.079300,57
META,2026-08-14,0.155000,-0.070000,12,8,3,3,3.010000,862.510000,0.218800,40
GOOGL,2026-08-14,0.039000,0.552000,16,2,5,0,4.880000,271.040000,0.159000,58
AMZN,2026-08-14,-0.471000,-0.197000,17,15,2,2,4.090000,334.500000,0.123000,28
TSLA,2026-08-14,-0.582000,-0.424000,6,14,1,5,3.050000,670.390000,0.132500,54
JPM,2026-08-14,0.065000,-0.086000,17,14,5,0,4.440000,247.200000,0.076700,32
V,2026-08-14,0.124000,-0.021000,17,9,1,3,4.430000,439.750000,0.029700,34
NFLX,2026-08-14,0.039000,-0.415000,13,10,2,2,4.350000,1932.880000,0.220500,25
AAPL,2026-08-21,0.445000,0.125000,10,11,2,0,3.560000,372.940000,0.306600,42
MSFT,2026-08-21,-0.116000,-0.380000,12,9,1,4,3.240000,650.540000,0.313200,30
NVDA,2026-08-21,0.277000,-0.108000,18,11,0,2,4.420000,123.800000,0.015900,26
META,2026-08-21,0.407000,0.164000,15,12,3,1,4.260000,946.460000,0.237000,48
GOOGL,2026-08-21,-0.277000,0.291000,23,13,4,1,3.240000,276.740000,0.139300,32
AMZN,2026-08-21,-0.039000,-0.259000,9,8,0,0,4.100000,339.230000,0.102700,28
TSLA,2026-08-21,0.262000,-0.033000,18,0,1,2,4.060000,686.260000,0.101900,25
JPM,2026-08-21,-0.412000,0.156000,14,17,0,3,3.660000,309.010000,0.269100,36
V,2026-08-21,0.228000,0.062000,9,1,4,2,4.210000,538.610000,0.232800,37
NFLX,2026-08-21,-0.072000,0.151000,17,0,3,0,3.570000,1988.970000,0.228600,46
